X,Y:Acc_TX-Body1-Model1(m/s^2),Y:Acc_TY-Body1-Model1(m/s^2),Y:Acc_TZ-Body1-Model1(m/s^2)
0,0,-3.1104878,0
0.001013,-2.98E-05,-3.1104878,0
0.002037,-0.000120437,-3.1104878,0
0.003061,-0.00027196,-3.1104878,0
0.004085,-0.000484353,-3.1104878,0
0.005109,-0.000757618,-3.1104877,0
0.006133,-0.001091753,-3.1104877,0
0.007157,-0.001486758,-3.1104876,0
0.008181,-0.001942634,-3.1104874,0
0.009205,-0.002459381,-3.1104871,0
0.010229,-0.003036999,-3.1104868,0
0.011253,-0.003675487,-3.1104863,0
0.012253,-0.004357757,-3.1104857,0
0.013253,-0.005098079,-3.1104849,0
0.014253,-0.005896451,-3.110484,0
0.015253,-0.006752874,-3.1104827,0
0.016253,-0.007667347,-3.1104813,0
0.017253,-0.00863987,-3.1104795,0
0.018253,-0.009670443,-3.1104774,0
0.019253,-0.010759067,-3.1104749,0
0.020253,-0.01190574,-3.1104719,0
0.021253,-0.013110463,-3.1104685,0
0.022253,-0.014373236,-3.1104646,0
0.023253,-0.015694057,-3.1104601,0
0.024253,-0.017072927,-3.110455,0
0.025253,-0.018509846,-3.1104492,0
0.026253,-0.020004812,-3.1104427,0
0.027253,-0.021557826,-3.1104353,0
0.028253,-0.023168887,-3.1104271,0
0.029253,-0.024837994,-3.110418,0
0.030253,-0.026565147,-3.1104079,0
0.031253,-0.028350345,-3.1103968,0
0.032253,-0.030193586,-3.1103845,0
0.033253,-0.032094871,-3.110371,0
0.034253,-0.034054198,-3.1103562,0
0.035253,-0.036071566,-3.11034,0
0.036253,-0.038146974,-3.1103224,0
0.037253,-0.040280421,-3.1103033,0
0.038253,-0.042471904,-3.1102826,0
0.039253,-0.044721423,-3.1102602,0
0.040253,-0.047028976,-3.1102359,0
0.041253,-0.049394561,-3.1102098,0
0.042253,-0.051818177,-3.1101817,0
0.043253,-0.05429982,-3.1101516,0
0.044253,-0.05683949,-3.1101193,0
0.045253,-0.059437182,-3.1100846,0
0.046253,-0.062092896,-3.1100476,0
0.047253,-0.064806628,-3.1100082,0
0.048253,-0.067578375,-3.1099661,0
0.049253,-0.070408135,-3.1099213,0
0.050253,-0.073295903,-3.1098736,0
0.051253,-0.076241677,-3.1098231,0
0.052253,-0.079245452,-3.1097695,0
0.053253,-0.082307224,-3.1097126,0
0.054253,-0.08542699,-3.1096525,0
0.055253,-0.088604745,-3.109589,0
0.056253,-0.091840485,-3.1095219,0
0.057253,-0.095134203,-3.1094511,0
0.058253,-0.098485896,-3.1093765,0
0.059253,-0.10189556,-3.1092979,0
0.060253,-0.10536318,-3.1092152,0
0.061253,-0.10888876,-3.1091283,0
0.062253,-0.11247229,-3.1090371,0
0.063253,-0.11611377,-3.1089413,0
0.064253,-0.11981318,-3.1088408,0
0.065253,-0.12357052,-3.1087355,0
0.066253,-0.12738578,-3.1086253,0
0.067253,-0.13125895,-3.1085099,0
0.068253,-0.13519003,-3.1083892,0
0.069253,-0.139179,-3.1082631,0
0.070253,-0.14322586,-3.1081315,0
0.071253,-0.1473306,-3.107994,0
0.072253,-0.1514932,-3.1078506,0
0.073253,-0.15571366,-3.1077012,0
0.074253,-0.15999196,-3.1075454,0
0.075253,-0.16432809,-3.1073833,0
0.076253,-0.16872205,-3.1072145,0
0.077253,-0.17317381,-3.1070389,0
0.078253,-0.17768338,-3.1068564,0
0.079253,-0.18225072,-3.1066667,0
0.080253,-0.18687583,-3.1064696,0
0.081253,-0.19155869,-3.1062651,0
0.082253,-0.1962993,-3.1060528,0
0.083253,-0.20109762,-3.1058327,0
0.084253,-0.20595366,-3.1056044,0
0.085253,-0.21086738,-3.1053679,0
0.086253,-0.21583877,-3.1051229,0
0.087253,-0.22086782,-3.1048692,0
0.088253,-0.22595451,-3.1046066,0
0.089253,-0.2310988,-3.1043349,0
0.090253,-0.2363007,-3.1040538,0
0.091253,-0.24156017,-3.1037633,0
0.092253,-0.2468772,-3.1034631,0
0.093253,-0.25225175,-3.1031529,0
0.094253,-0.25768381,-3.1028326,0
0.095253,-0.26317336,-3.1025019,0
0.096253,-0.26872037,-3.1021606,0
0.097253,-0.27432482,-3.1018085,0
0.098253,-0.27998667,-3.1014453,0
0.099253,-0.28570591,-3.1010709,0
0.100253,-0.2914825,-3.100685,0
0.101253,-0.29731642,-3.1002873,0
0.102253,-0.30320763,-3.0998777,0
0.103253,-0.30915611,-3.0994559,0
0.104253,-0.31516183,-3.0990216,0
0.105253,-0.32122475,-3.0985746,0
0.106253,-0.32734484,-3.0981148,0
0.107253,-0.33352207,-3.0976417,0
0.108253,-0.33975639,-3.0971552,0
0.109253,-0.34604779,-3.0966551,0
0.110253,-0.35239621,-3.096141,0
0.111253,-0.35880163,-3.0956128,0
0.112253,-0.36526399,-3.0950701,0
0.113253,-0.37178327,-3.0945127,0
0.114253,-0.37835942,-3.0939403,0
0.115253,-0.3849924,-3.0933528,0
0.116253,-0.39168216,-3.0927497,0
0.117253,-0.39842866,-3.0921309,0
0.118253,-0.40523186,-3.0914961,0
0.119253,-0.41209171,-3.090845,0
0.120253,-0.41900816,-3.0901773,0
0.121253,-0.42598116,-3.0894927,0
