X:Acc_TX-Body2-Model1(m/s^2),Y:Acc_TX-Body2-Model1(m/s^2),Y:Acc_TY-Body2-Model1(m/s^2),Y:Acc_TZ-Body2-Model1(m/s^2)
0.0000000,0.0000000,-6.9387805,0.0000000
0.0010130000,-6.1156120e-05,-6.9387805,0.0000000
0.0020370000,-0.00024728803,-6.9387805,0.0000000
0.0030610000,-0.00055840293,-6.9387805,0.0000000
0.0040850000,-0.00099450083,-6.9387804,0.0000000
0.0051090000,-0.0015555817,-6.9387804,0.0000000
0.0061330000,-0.0022416456,-6.9387803,0.0000000
0.0071570000,-0.0030526925,-6.9387801,0.0000000
0.0081810000,-0.0039887223,-6.9387798,0.0000000
0.0092050000,-0.0050497351,-6.9387793,0.0000000
0.010229000,-0.0062357307,-6.9387787,0.0000000
0.011253000,-0.0075467093,-6.9387779,0.0000000
0.012253000,-0.0089475849,-6.9387768,0.0000000
0.013253000,-0.010467653,-6.9387755,0.0000000
0.014253000,-0.012106914,-6.9387738,0.0000000
0.015253000,-0.013865368,-6.9387716,0.0000000
0.016253000,-0.015743014,-6.9387691,0.0000000
0.017253000,-0.017739852,-6.9387660,0.0000000
0.018253000,-0.019855883,-6.9387623,0.0000000
0.019253000,-0.022091104,-6.9387580,0.0000000
0.020253000,-0.024445517,-6.9387529,0.0000000
0.021253000,-0.026919121,-6.9387470,0.0000000
0.022253000,-0.029511916,-6.9387403,0.0000000
0.023253000,-0.032223900,-6.9387325,0.0000000
0.024253000,-0.035055074,-6.9387237,0.0000000
0.025253000,-0.038005436,-6.9387137,0.0000000
0.026253000,-0.041074986,-6.9387025,0.0000000
0.027253000,-0.044263723,-6.9386898,0.0000000
0.028253000,-0.047571646,-6.9386757,0.0000000
0.029253000,-0.050998754,-6.9386601,0.0000000
0.030253000,-0.054545045,-6.9386427,0.0000000
0.031253000,-0.058210519,-6.9386235,0.0000000
0.032253000,-0.061995173,-6.9386024,0.0000000
0.033253000,-0.065899006,-6.9385792,0.0000000
0.034253000,-0.069922016,-6.9385538,0.0000000
0.035253000,-0.074064202,-6.9385261,0.0000000
0.036253000,-0.078325560,-6.9384959,0.0000000
0.037253000,-0.082706089,-6.9384632,0.0000000
0.038253000,-0.087205786,-6.9384276,0.0000000
0.039253000,-0.091824649,-6.9383892,0.0000000
0.040253000,-0.096562673,-6.9383477,0.0000000
0.041253000,-0.10141986,-6.9383029,0.0000000
0.042253000,-0.10639619,-6.9382548,0.0000000
0.043253000,-0.11149168,-6.9382032,0.0000000
0.044253000,-0.11670632,-6.9381478,0.0000000
0.045253000,-0.12204010,-6.9380886,0.0000000
0.046253000,-0.12749302,-6.9380253,0.0000000
0.047253000,-0.13306507,-6.9379577,0.0000000
0.048253000,-0.13875625,-6.9378857,0.0000000
0.049253000,-0.14456655,-6.9378090,0.0000000
0.050253000,-0.15049597,-6.9377276,0.0000000
0.051253000,-0.15654450,-6.9376411,0.0000000
0.052253000,-0.16271213,-6.9375494,0.0000000
0.053253000,-0.16899886,-6.9374523,0.0000000
0.054253000,-0.17540467,-6.9373495,0.0000000
0.055253000,-0.18192957,-6.9372409,0.0000000
0.056253000,-0.18857353,-6.9371263,0.0000000
0.057253000,-0.19533656,-6.9370053,0.0000000
0.058253000,-0.20221864,-6.9368778,0.0000000
0.059253000,-0.20921976,-6.9367436,0.0000000
0.060253000,-0.21633991,-6.9366024,0.0000000
0.061253000,-0.22357909,-6.9364540,0.0000000
0.062253000,-0.23093727,-6.9362981,0.0000000
0.063253000,-0.23841445,-6.9361345,0.0000000
0.064253000,-0.24601061,-6.9359630,0.0000000
0.065253000,-0.25372574,-6.9357832,0.0000000
0.066253000,-0.26155983,-6.9355950,0.0000000
0.067253000,-0.26951285,-6.9353981,0.0000000
0.068253000,-0.27758481,-6.9351921,0.0000000
0.069253000,-0.28577567,-6.9349770,0.0000000
