X:Vel_TX-Body2-Model1(m/s),Y:Vel_TX-Body2-Model1(m/s),Y:Vel_TY-Body2-Model1(m/s),Y:Vel_TZ-Body2-Model1(m/s)
0.0000000,0.0000000,0.0000000,0.0000000
0.0010130000,-2.0650383e-08,-0.0070289846,0.0000000
0.0020370000,-1.6790857e-07,-0.014134296,0.0000000
0.0030610000,-5.6975712e-07,-0.021239607,0.0000000
0.0040850000,-1.3541786e-06,-0.028344918,0.0000000
0.0051090000,-2.6491557e-06,-0.035450229,0.0000000
0.0061330000,-4.5826709e-06,-0.042555540,0.0000000
0.0071570000,-7.2827068e-06,-0.049660851,0.0000000
0.0081810000,-1.0877246e-05,-0.056766162,0.0000000
0.0092050000,-1.5494271e-05,-0.063871472,0.0000000
0.010229000,-2.1261764e-05,-0.070976782,0.0000000
0.011253000,-2.8307708e-05,-0.078082091,0.0000000
0.012253000,-3.6544922e-05,-0.085020868,0.0000000
0.013253000,-4.6242609e-05,-0.091959644,0.0000000
0.014253000,-5.7519960e-05,-0.098898419,0.0000000
0.015253000,-7.0496168e-05,-0.10583719,0.0000000
0.016253000,-8.5290426e-05,-0.11277596,0.0000000
0.017253000,-0.00010202193,-0.11971473,0.0000000
0.018253000,-0.00012080986,-0.12665349,0.0000000
0.019253000,-0.00014177342,-0.13359225,0.0000000
0.020253000,-0.00016503180,-0.14053101,0.0000000
0.021253000,-0.00019070418,-0.14746976,0.0000000
0.022253000,-0.00021890977,-0.15440850,0.0000000
0.023253000,-0.00024976774,-0.16134724,0.0000000
0.024253000,-0.00028339729,-0.16828596,0.0000000
0.025253000,-0.00031991761,-0.17522468,0.0000000
0.026253000,-0.00035944788,-0.18216339,0.0000000
0.027253000,-0.00040210730,-0.18910208,0.0000000
0.028253000,-0.00044801505,-0.19604077,0.0000000
0.029253000,-0.00049729030,-0.20297943,0.0000000
0.030253000,-0.00055005226,-0.20991808,0.0000000
0.031253000,-0.00060642010,-0.21685671,0.0000000
0.032253000,-0.00066651300,-0.22379533,0.0000000
0.033253000,-0.00073045014,-0.23073392,0.0000000
0.034253000,-0.00079835070,-0.23767248,0.0000000
0.035253000,-0.00087033386,-0.24461102,0.0000000
0.036253000,-0.00094651878,-0.25154953,0.0000000
0.037253000,-0.0010270246,-0.25848800,0.0000000
0.038253000,-0.0011119706,-0.26542645,0.0000000
0.039253000,-0.0012014759,-0.27236485,0.0000000
0.040253000,-0.0012956595,-0.27930322,0.0000000
0.041253000,-0.0013946408,-0.28624154,0.0000000
0.042253000,-0.0014985389,-0.29317981,0.0000000
0.043253000,-0.0016074728,-0.30011804,0.0000000
0.044253000,-0.0017215618,-0.30705621,0.0000000
0.045253000,-0.0018409250,-0.31399432,0.0000000
0.046253000,-0.0019656816,-0.32093238,0.0000000
0.047253000,-0.0020959506,-0.32787036,0.0000000
0.048253000,-0.0022318512,-0.33480828,0.0000000
0.049253000,-0.0023735026,-0.34174612,0.0000000
0.050253000,-0.0025210237,-0.34868388,0.0000000
0.051253000,-0.0026745339,-0.35562156,0.0000000
0.052253000,-0.0028341521,-0.36255915,0.0000000
0.053253000,-0.0029999975,-0.36949664,0.0000000
0.054253000,-0.0031721891,-0.37643403,0.0000000
0.055253000,-0.0033508461,-0.38337132,0.0000000
0.056253000,-0.0035360875,-0.39030849,0.0000000
0.057253000,-0.0037280323,-0.39724555,0.0000000
0.058253000,-0.0039267997,-0.40418248,0.0000000
0.059253000,-0.0041325087,-0.41111928,0.0000000
0.060253000,-0.0043452782,-0.41805594,0.0000000
0.061253000,-0.0045652274,-0.42499246,0.0000000
0.062253000,-0.0047924753,-0.43192882,0.0000000
0.063253000,-0.0050271408,-0.43886502,0.0000000
0.064253000,-0.0052693429,-0.44580106,0.0000000
0.065253000,-0.0055192006,-0.45273692,0.0000000
0.066253000,-0.0057768329,-0.45967259,0.0000000
0.067253000,-0.0060423588,-0.46660807,0.0000000
0.068253000,-0.0063158970,-0.47354335,0.0000000
0.069253000,-0.0065975666,-0.48047842,0.0000000
0.070253000,-0.0068874865,-0.48741326,0.0000000
0.071253000,-0.0071857755,-0.49434788,0.0000000
0.072253000,-0.0074925525,-0.50128225,0.0000000
0.073253000,-0.0078079363,-0.50821638,0.0000000
0.074253000,-0.0081320458,-0.51515024,0.0000000
0.075253000,-0.0084649998,-0.52208383,0.0000000
0.076253000,-0.0088069170,-0.52901714,0.0000000
0.077253000,-0.0091579162,-0.53595015,0.0000000
0.078253000,-0.0095181161,-0.54288286,0.0000000
0.079253000,-0.0098876354,-0.54981525,0.0000000
0.080253000,-0.010266593,-0.55674731,0.0000000
0.081253000,-0.010655107,-0.56367902,0.0000000
0.082253000,-0.011053297,-0.57061038,0.0000000
0.083253000,-0.011461280,-0.57754136,0.0000000
0.084253000,-0.011879177,-0.58447197,0.0000000
0.085253000,-0.012307104,-0.59140218,0.0000000
0.086253000,-0.012745181,-0.59833197,0.0000000
